city,common_name,count,mean_h
Adair,American basswood,9,0.0
Adair,American elm,2,0.0
Adair,Amur maple,8,0.0
Adair,Apple,16,0.0
Adair,Birch,2,0.0
Adair,Black walnut,16,0.0
Adair,Blue spruce,22,0.0
Adair,Boxelder,1,0.0
Adair,Bur oak,2,0.0
Adair,Catalpa,4,0.0
Adair,Eastern red cedar,3,0.0
Adair,Elm,2,0.0
Adair,Green ash,53,0.0
Adair,Honeylocust,4,0.0
Adair,Lilac,11,0.0
Adair,Littleleaf linden,4,0.0
Adair,Maple,14,0.0
Adair,Mulberry,5,0.0
Adair,Northern catalpa,1,0.0
Adair,Northern hackberry,3,0.0
Adair,Northern pin oak,2,0.0
Adair,Northern red oak,3,0.0
Adair,Norway maple,27,0.0
Adair,Norway spruce,6,0.0
Adair,Oak,2,0.0
Adair,Red pine,1,0.0
Adair,Siberian elm,4,0.0
Adair,Silver maple,72,0.0
Adair,Spruce,4,0.0
Adair,Sugar maple,16,0.0
Adel,American basswood,6,0.0
Adel,American elm,3,0.0
Adel,American sycamore,4,0.0
Adel,Apple,57,0.0
Adel,Black maple,40,0.0
Adel,Black spruce,7,0.0
Adel,Black walnut,11,0.0
Adel,Blue spruce,2,0.0
Adel,Bur oak,2,0.0
Adel,Common chokecherry,1,0.0
Adel,Eastern cottonwood,2,0.0
Adel,Eastern red cedar,4,0.0
Adel,Eastern redbud,4,0.0
Adel,Ginkgo,2,0.0
Adel,Green ash,97,0.0
Adel,Honeylocust,12,0.0
Adel,Littleleaf linden,14,0.0
Adel,Maple,1,0.0
Adel,Northern hackberry,13,0.0
Adel,Northern red oak,11,0.0
Adel,Norway maple,37,0.0
Adel,Norway spruce,2,0.0
Adel,Pear,39,0.0
Adel,Pin oak,8,0.0
Adel,Plum,2,0.0
Adel,Pussy willow,1,0.0
Adel,Red maple,7,0.0
Adel,River birch,1,0.0
Adel,Siberian elm,16,0.0
Adel,Silver maple,89,0.0
Adel,Southern magnolia,2,0.0
Adel,Sugar maple,29,0.0
Adel,Swamp white oak,14,0.0
Adel,White ash,2,0.0
Adel,White oak,2,0.0
Ahuimanu,Myrtle crape,7,67.49156571428571
Ahuimanu,Plumeria,1,6.56168
Ahuimanu,Royal poinciana,5,62.33596
Ahuimanu,Tulipwood,1,55.77428
Albuquerque,Afghan pine,22,70.09067272727272
Albuquerque,American basswood,1,59.05512
Albuquerque,American elm,24,54.27056166666667
Albuquerque,American holly,1,39.37008
Albuquerque,Amur maple,2,44.29134
Albuquerque,Apple,3,54.68066666666667
Albuquerque,Apricot,1,68.89764
Albuquerque,Arizona cypress,8,86.532155
Albuquerque,Arizona sycamore,28,77.68560428571428
Albuquerque,Ash,105,73.86576914285713
Albuquerque,Austrian pine,136,72.05786088235294
Albuquerque,Basswood,2,60.695539999999994
Albuquerque,Bigtooth maple,14,40.77615428571429
Albuquerque,Black locust,11,72.77499636363636
Albuquerque,Blue atlas cedar,3,65.6168
Albuquerque,Blue spruce,19,65.6168
Albuquerque,Boxelder,27,73.27209333333333
Albuquerque,Bradford pear callery pear,13,53.50292923076923
Albuquerque,Bristlecone pine,3,16.4042
Albuquerque,Broadleaf deciduous large,3,99.51881333333334
Albuquerque,Broadleaf deciduous small,11,36.98401454545455
Albuquerque,Bur oak,37,69.25232540540541
Albuquerque,Catalpa,12,46.75197
Albuquerque,Cedar elm,4,44.291340000000005
Albuquerque,Cherry plum,7,29.527559999999998
Albuquerque,Chinese elm,75,64.8293984
Albuquerque,Chinese pistache,51,64.26586588235294
Albuquerque,Chinkapin oak,12,65.6168
Albuquerque,Chitalpa,7,54.83689714285714
Albuquerque,Common chokecherry,25,45.931760000000004
Albuquerque,Cottonwood,26,104.35594923076923
Albuquerque,Crabapple,126,38.82327333333333
Albuquerque,Crape myrtle,1,39.37008
Albuquerque,Dawn redwood,6,26.24672
Albuquerque,Deodar cedar,30,51.94663333333333
Albuquerque,Desert willow,59,58.72147525423728
Albuquerque,Eastern red cedar,7,103.58080571428572
Albuquerque,Eastern redbud,7,43.11961142857143
Albuquerque,Elm,27,59.05512
Albuquerque,Elm hybrid,67,56.21498985074627
Albuquerque,English oak,5,62.992128
Albuquerque,Ginkgo,2,49.2126
Albuquerque,Globe willow,4,85.30184
Albuquerque,Golden rain tree,45,56.28463288888889
Albuquerque,Green ash,18,61.60688444444444
Albuquerque,Greenstone,8,56.184385
Albuquerque,Hardy rubber tree,4,35.26903
Albuquerque,Honeylocust,150,69.66316933333333
Albuquerque,Italian stone pine,2,90.2231
Albuquerque,Japanese black pine,2,44.29134
Albuquerque,Japanese pagoda tree,33,89.67629333333333
Albuquerque,Japanese zelkova,2,16.4042
Albuquerque,Juniper,13,82.52574461538461
Albuquerque,Kentucky coffeetree,9,40.099155555555555
Albuquerque,Lanceleaf cottonwood,1,0.0
Albuquerque,Leyland false cypress,12,91.59011666666667
Albuquerque,Limber pine,6,58.50831333333333
Albuquerque,Littleleaf linden,27,63.06503555555555
Albuquerque,Locust,11,41.756145454545454
Albuquerque,London plane,120,72.06911866666665
Albuquerque,Maple,4,70.53806
Albuquerque,Mimosa,7,45.93176
Albuquerque,Mountain ash,2,68.89764
Albuquerque,Netleaf hackberry,4,106.6273
Albuquerque,New mexico locust,10,59.05512
Albuquerque,New mexico olive,3,49.2126
Albuquerque,Northern catalpa,1,114.8294
Albuquerque,Northern hackberry,31,75.6709870967742
Albuquerque,Northern red oak,1,0.0
Albuquerque,Norway maple,1,114.8294
Albuquerque,Oak,6,44.29134
Albuquerque,Oklahoma redbud,29,42.42465517241379
Albuquerque,One seed juniper,1,108.26772
Albuquerque,Osage orange,5,91.86352000000001
Albuquerque,Pear,60,62.664044
Albuquerque,Pine,4,43.47113
Albuquerque,Pinyon pine,12,56.321086666666666
Albuquerque,Plains cottonwood,5,93.175856
Albuquerque,Plum,20,56.102364
Albuquerque,Ponderosa pine,21,73.74078476190476
Albuquerque,Quaking aspen,1,59.05512
Albuquerque,Raywood ash,60,58.891078
Albuquerque,Rocky mountain juniper,4,85.30184
Albuquerque,Russian olive,1,0.0
Albuquerque,Scotch pine,7,83.42707428571428
Albuquerque,Shumard oak,15,58.398952
Albuquerque,Siberian elm,45,29.38174488888889
Albuquerque,Spruce,1,118.11024
Albuquerque,Texas red oak,67,59.29995880597015
Albuquerque,Tree of heaven,10,83.005252
Albuquerque,Velvet ash arizona ash,9,56.867893333333335
Albuquerque,Vitex,11,25.65020363636364
Albuquerque,White ash,30,70.97550533333333
Anaheim,Abyssinian banana,4,0.0
Anaheim,Acacia,34,0.0
Anaheim,Acer paxii,136,0.0
Anaheim,Afghan pine,18,0.0
Anaheim,African sumac,197,0.0
Anaheim,African tulip tree,3,0.0
Anaheim,Alamo mexican sycamore,129,0.0
Anaheim,Albizia,21,0.0
Anaheim,Aleppo pine,486,0.0
Anaheim,Alii fig,2,0.0
Anaheim,Almond,14,0.0
Anaheim,American arborvitae,4,0.0
Anaheim,American elm,12,0.0
Anaheim,American linden,7,0.0
Anaheim,American sweetgum,1433,0.0
Anaheim,American sycamore,10,0.0
Anaheim,Apricot,7,0.0
Anaheim,Arapaho crape myrtle,20,0.0
Anaheim,Areca palm,3,0.0
Anaheim,Aristocrat pear,42,0.0
Anaheim,Arizona ash,40,0.0
Anaheim,Ash,18,0.0
Anaheim,Ash gum,1,0.0
Anaheim,Atlas cedar,8,0.0
Anaheim,Australian flame tree,86,0.0
Anaheim,Australian tea tree,1,0.0
Anaheim,Australian willow,815,0.0
Anaheim,Autumn glow zelkova,23,0.0
Anaheim,Avocado,60,0.0
Anaheim,Birch,2,0.0
Anaheim,Black acacia,4,0.0
Anaheim,Black cottonwood,2,0.0
Anaheim,Black locust,72,0.0
Anaheim,Black walnut,2,0.0
Anaheim,Blanchard magnolia,73,0.0
Anaheim,Bloodgood plane,20,0.0
Anaheim,Blue gum,389,0.0
Anaheim,Blue leaf wattle,13,0.0
Anaheim,Bottle tree,416,0.0
Anaheim,Bottlebrush,28,0.0
Anaheim,Bougainvillea,1,0.0
Anaheim,Box elder,2,0.0
Anaheim,Bradford pear,24,0.0
Anaheim,Brazilian butterfly tree,4,0.0
Anaheim,Brazilian pepper,323,0.0
Anaheim,Brisbane box,1609,0.0
Anaheim,Bronze loquat,67,0.0
Anaheim,Brush cherry,66,0.0
Anaheim,Bunya bunya,3,0.0
Anaheim,Bur oak,7,0.0
Anaheim,Bushy yate,2,0.0
Anaheim,Cajeput tree,186,0.0
Anaheim,Calabrian pine,91,0.0
Anaheim,California buckeye,1,0.0
Anaheim,California fan palm,232,0.0
Anaheim,California pepper,280,0.0
Anaheim,California sycamore,634,0.0
Anaheim,Camphor tree,2567,0.0
Anaheim,Canary island broom,2,0.0
Anaheim,Canary island date palm,284,0.0
Anaheim,Canary island pine,2317,0.0
Anaheim,Cap gum red,2,0.0
Anaheim,Cape chestnut,14,0.0
Anaheim,Cape pittosporum,24,0.0
Anaheim,Carob,58,0.0
Anaheim,Carolina laurel cherry,18,0.0
Anaheim,Carolina poplar,5,0.0
Anaheim,Carrotwood,1318,0.0
Anaheim,Catalpa,2,0.0
Anaheim,Catawba crape myrtle,1,0.0
Anaheim,Cedar,17,0.0
Anaheim,Cedar elm,8,0.0
Anaheim,Champaca,1,0.0
Anaheim,Cherimoya,3,0.0
Anaheim,Chilean wine palm,1,0.0
Anaheim,Chinaberry,21,0.0
